symbol,isin,crossed_below_zero,crossover_date,current_price
ABB.NS,INE117A01022,False,,7130.5
ADANIENSOL.NS,INE931S01010,False,,1386.8000488281
ADANIENT.NS,INE423A01024,True,2026-09-09T00:00:00.000,2923.1999511719
ADANIGREEN.NS,INE364U01010,False,,1274.1999511719
ADANIPORTS.NS,INE742F01042,False,,1738.3000488281
ADANIPOWER.NS,INE814H01029,False,,205.9199981689
AMBUJACEM.NS,INE079A01024,False,,383.25
APOLLOHOSP.NS,INE437A01024,False,,8768.5
ASIANPAINT.NS,INE021A01026,False,,2454.0
DMART.NS,INE192R01011,False,,3711.1999511719
AXISBANK.NS,INE238A01034,False,,1240.0
BAJAJ-AUTO.NS,INE917I01010,False,,11500.0
BAJFINANCE.NS,INE296A01032,False,,1015.0
BAJAJFINSV.NS,INE918I01026,False,,1859.1999511719
BAJAJHLDNG.NS,INE118A01012,False,,11010.0
BANKBARODA.NS,INE028A01039,True,2026-09-14T00:00:00.000,232.3000030518
BEL.NS,INE263A01024,False,,395.450012207
BPCL.NS,INE029A01011,False,,307.0
BHARTIARTL.NS,INE397D01024,False,,1836.0
BOSCHLTD.NS,INE323A01026,False,,47735.0
BRITANNIA.NS,INE216A01030,False,,4982.0
CGPOWER.NS,INE067A01029,False,,880.0
CANBK.NS,INE476A01022,False,,123.9000015259
CHOLAFIN.NS,INE121A01024,False,,1764.5
CIPLA.NS,INE059A01026,False,,1376.3000488281
COALINDIA.NS,INE522F01014,False,,418.0
CUMMINSIND.NS,INE298A01020,True,2026-09-10T00:00:00.000,5020.0
DLF.NS,INE271C01023,False,,640.0
DIVISLAB.NS,INE361B01024,False,,9323.0
DRREDDY.NS,INE089A01031,True,2026-09-11T00:00:00.000,1175.0
EICHERMOT.NS,INE066A01021,False,,7493.5
ETERNAL.NS,INE758T01015,False,,322.3500061035
GAIL.NS,INE129A01019,False,,172.0
GODREJCP.NS,INE102D01028,True,2026-09-14T00:00:00.000,873.0
GRASIM.NS,INE047A01021,False,,3173.1000976562
HCLTECH.NS,INE860A01027,False,,1258.3000488281
HDFCAMC.NS,INE127D01025,False,,2387.6999511719
HDFCBANK.NS,INE040A01034,True,2026-09-11T00:00:00.000,713.0
HDFCLIFE.NS,INE795G01014,True,2026-09-17T00:00:00.000,557.0
HINDALCO.NS,INE038A01020,False,,980.5
HAL.NS,INE066F01020,False,,4788.0
